cell_id,label,true_tab_angle,detected_rotation,tab_found,anomaly_score,flagged,center_offset,radius_fraction,symmetry_mae,edge_density,ring_count,ring_spacing_cv,inner_intensity_std,tab_alignment_error
synthetic_01,synthetic reference,-9.88,-9.893,True,-0.108141,False,0.012739,0.408854,0.168866,0.249812,0.433333,0.05529,0.179073,0.000456
synthetic_02,synthetic reference,-106.186,-106.193,True,-0.131765,False,0.020142,0.408854,0.194211,0.250296,0.433333,0.05529,0.178728,1.4e-05
synthetic_03,synthetic reference,84.188,84.155,True,-0.08133,False,0.009008,0.408854,0.167337,0.250613,0.433333,0.0,0.178377,0.000289
synthetic_04,synthetic reference,-1.809,-1.816,True,-0.05195,False,0.014242,0.408854,0.166655,0.253631,0.433333,0.06415,0.1789,0.001072
synthetic_05,synthetic reference,-122.918,-122.9,True,-0.079633,False,0.022965,0.408854,0.205265,0.256683,0.433333,0.045361,0.178892,0.000484
synthetic_06,synthetic reference,-72.323,-72.308,True,-0.140234,False,0.019108,0.408854,0.216173,0.249345,0.433333,0.05529,0.178866,0.00017
synthetic_07,synthetic reference,-68.737,-68.686,True,-0.027032,False,0.006369,0.408854,0.084753,0.243976,0.433333,0.0,0.178684,8.2e-05
synthetic_08,synthetic reference,48.596,48.626,True,-0.081621,False,0.027023,0.408854,0.206319,0.243225,0.433333,0.0,0.178885,0.000138
synthetic_09,synthetic reference,-96.073,-96.046,True,-0.159488,False,0.014242,0.408854,0.167475,0.249245,0.433333,0.030996,0.178696,6.7e-05
synthetic_10,synthetic reference,-153.051,-153.06,True,-0.041891,False,0.02282,0.411458,0.205938,0.252895,0.433333,0.0,0.179052,0.000165
synthetic_11,synthetic reference,142.01,142.031,True,-0.068868,False,0.020142,0.408854,0.219352,0.249412,0.433333,0.0,0.179265,0.000427
synthetic_12,synthetic reference,-97.716,-97.721,True,-0.151043,False,0.014242,0.408854,0.165668,0.251013,0.433333,0.0,0.178707,1.5e-05
synthetic_13,synthetic reference,-88.932,-88.897,True,-0.108732,False,0.014242,0.408854,0.215958,0.254098,0.433333,0.085144,0.178746,0.000327
synthetic_14,synthetic reference,58.704,58.738,True,-0.09756,False,0.018015,0.408854,0.219132,0.257117,0.433333,0.030996,0.178666,0.000227
synthetic_15,synthetic reference,135.308,135.273,True,-0.03826,False,0.006369,0.408854,0.168834,0.24029,0.433333,0.030996,0.179067,1.4e-05
synthetic_16,synthetic reference,48.044,48.084,True,-0.008329,False,0.006369,0.408854,0.08275,0.242325,0.433333,0.045361,0.178769,0.000225
synthetic_17,synthetic reference,-49.768,-49.738,True,-0.047464,False,0.014152,0.411458,0.202707,0.243573,0.433333,0.0,0.179075,0.000127
synthetic_18,synthetic reference,160.677,160.666,True,-0.074424,False,0.027023,0.408854,0.157367,0.249629,0.433333,0.0,0.178443,0.000187
synthetic_19,synthetic reference,126.315,126.33,True,-0.054047,False,0.020014,0.411458,0.195408,0.248744,0.433333,0.0,0.17901,0.000261
synthetic_20,synthetic reference,-11.259,-11.308,True,-0.164768,False,0.014242,0.408854,0.167172,0.250596,0.433333,0.0,0.178698,0.000259
synthetic_21,synthetic reference,-144.264,-144.228,True,0.056034,True,0.014242,0.408854,0.218957,0.251847,0.466667,0.513549,0.178952,0.000138
synthetic_22,synthetic reference,167.098,167.032,True,0.043727,True,0.014242,0.408854,0.170292,0.253148,0.466667,0.483955,0.178841,0.000663
synthetic_23,synthetic reference,30.537,30.592,True,-0.071032,False,0.027023,0.408854,0.170596,0.257317,0.433333,0.045361,0.178858,5.4e-05
synthetic_24,synthetic reference,139.265,139.273,True,-0.041828,False,0.014152,0.411458,0.16745,0.24466,0.433333,0.0,0.178986,6.6e-05
synthetic_25,synthetic anomaly,-44.094,-44.1,True,0.081903,True,0.110066,0.440104,0.179927,0.205801,0.4,0.234693,0.175672,0.000383
synthetic_26,synthetic anomaly,-114.871,-114.926,True,0.08327,True,0.123128,0.440104,0.187886,0.210822,0.4,0.284244,0.175649,5.7e-05
synthetic_27,synthetic anomaly,-103.846,-103.83,True,0.095131,True,0.105849,0.440104,0.179409,0.213843,0.366667,0.496977,0.175824,0.000122
synthetic_28,synthetic anomaly,22.155,22.158,True,0.092872,True,0.092618,0.440104,0.179111,0.206132,0.4,0.284244,0.175815,0.000425
synthetic_29,synthetic anomaly,59.606,59.596,True,0.088991,True,0.105849,0.440104,0.192325,0.221612,0.4,0.289789,0.175651,0.000355
synthetic_30,synthetic anomaly,-153.273,-153.194,True,0.097582,True,0.113665,0.440104,0.187037,0.216591,0.433333,0.447472,0.175857,0.000342
synthetic_31,synthetic anomaly,106.359,106.345,True,0.082465,True,0.109107,0.440104,0.17894,0.213095,0.4,0.281403,0.175762,0.000197
synthetic_32,synthetic anomaly,55.133,55.116,True,0.080114,True,0.124823,0.440104,0.187622,0.216591,0.4,0.240454,0.175598,0.000354
